"geography","estimatedsalary","balance","numofproducts","exited"
"Spain",79078.91,0,2,FALSE
"Germany",137316.32,63227,1,FALSE
"Spain",194926.86,94521.17,2,FALSE
"France",51285.49,0,2,FALSE
"Spain",150401.53,112822.26,1,TRUE
"France",112491.96,0,2,FALSE
"France",73656.38,135903.33,1,FALSE
"France",106636.89,125169.26,1,FALSE
"Spain",155853.52,0,3,TRUE
"France",162599.51,149117.31,1,FALSE
"France",103737.82,0,2,FALSE
"France",160990.27,0,2,FALSE
"Spain",15462.84,132311.71,1,FALSE
"France",10334.05,0,2,FALSE
"France",190686.16,0,2,FALSE
"France",94440.45,118082.89,1,FALSE
"France",28257.63,119266.69,1,FALSE
"France",170034.95,0,1,TRUE
"Germany",31824.29,156847.29,2,FALSE
"France",127166.49,137104.47,1,TRUE
"Germany",44937.01,78398.69,1,FALSE
"France",188603.07,0,2,FALSE
"Germany",145111.37,63669.42,1,FALSE
"France",171463.83,0,2,FALSE
"Germany",182822.5,135296.33,1,FALSE
"Spain",87213.33,153804.44,1,FALSE
"Spain",57175.32,0,2,FALSE
"France",120540.83,147069.78,1,TRUE
"Spain",28714.34,0,2,FALSE
"Spain",85426.28,0,1,FALSE
"France",46170.75,95741.75,1,FALSE
"Spain",64448.36,145965.33,1,FALSE
"France",16278.97,141441.75,1,FALSE
"France",182855.42,139290.41,1,TRUE
"France",50404.72,0,2,FALSE
"France",107640.25,0,2,FALSE
"France",134132.65,144428.87,1,FALSE
"France",103480.69,0,2,FALSE
"France",108761.05,95441.27,1,TRUE
"Germany",179012.3,144848.74,1,FALSE
"Germany",95145.14,116244.14,2,FALSE
"France",72143.44,0,2,FALSE
"Spain",19162.89,146502.07,1,FALSE
"Germany",144680.18,117028.6,2,FALSE
"Germany",177772.03,112013.81,1,TRUE
"Spain",5597.94,108269.37,1,FALSE
"France",116828.51,182123.79,1,TRUE
"Germany",174652.51,150923.74,2,FALSE
"France",2010.98,0,2,FALSE
"Spain",14109.85,165272.13,1,TRUE
"Germany",43527.4,115301.31,1,TRUE
"Germany",86099.23,129502.49,2,TRUE
"France",161574.19,118342.26,1,FALSE
"Spain",38970.14,0,2,FALSE
"France",127587.22,0,2,FALSE
"France",30380.12,0,2,FALSE
"France",90908.95,0,2,FALSE
"Germany",138275.01,106937.05,2,FALSE
"Germany",32171.79,170331.37,1,FALSE
"Germany",126143.23,114510.85,1,FALSE
"France",129892.93,0,2,FALSE
"Spain",102416.84,107594.11,2,FALSE
"Spain",18719.67,81273.13,1,FALSE
"Spain",61936.22,169399.6,1,FALSE
"Spain",78358.94,0,2,FALSE
"France",147224.27,187841.99,2,FALSE
"France",160979.66,0,2,FALSE
"Spain",132298.49,126776.3,2,FALSE
"Spain",174248.52,126436.29,1,TRUE
"France",123547.28,101960.74,1,FALSE
"France",32790.02,0,2,FALSE
"Spain",181543.67,0,2,FALSE
"Germany",2319.96,150842.93,1,TRUE
"France",189543.19,102535.57,1,FALSE
"Germany",10940.4,99027.61,2,FALSE
"France",199493.38,0,2,FALSE
"Spain",188193.25,0,1,FALSE
"Germany",172572.64,87271.41,2,FALSE
"Germany",189339.6,102742.91,2,FALSE
"Germany",53512.16,40105.51,2,FALSE
"France",34004.44,152265.43,1,FALSE
"Spain",10598.29,141947.67,1,FALSE
"Germany",113428.77,106307.91,2,FALSE
"Germany",183487.98,107884.81,2,FALSE
"Germany",187658.09,125013.72,1,FALSE
"Germany",172459.39,58469.37,2,FALSE
"France",21016,0,1,FALSE
"Germany",122381.02,117231.63,3,TRUE
"Spain",128123.66,152390.26,1,FALSE
"Spain",19570.63,34013.63,1,FALSE
"Spain",188150.6,0,3,TRUE
"France",111020.24,0,2,FALSE
"France",123775.15,101583.11,2,FALSE
"Germany",146700.22,77168.87,2,FALSE
"Germany",145251.35,124695.72,2,FALSE
"Germany",82463.69,105934.96,1,FALSE
"France",15928.49,0,1,FALSE
"Spain",45886.33,0,2,FALSE
"Spain",186489.95,0,2,FALSE
"Spain",162922.65,0,2,FALSE
"France",9262.77,161525.96,2,FALSE
"Germany",84932.4,147199.07,1,FALSE
"Germany",71557.12,183102.29,1,FALSE
"Spain",77405.95,127209,2,TRUE
"Spain",417.41,0,2,TRUE
"Spain",71405.17,97378.54,1,FALSE
"Germany",153400.24,136925.09,2,FALSE
"France",371.05,54503.55,1,FALSE
"Germany",67789.99,155726.85,1,FALSE
"France",145894.9,0,2,FALSE
"France",183840.51,135842.41,1,TRUE
"France",108887.44,63349.75,1,FALSE
"Germany",154071.27,129499.42,1,FALSE
"Spain",179291.85,0,2,FALSE
"Spain",56937.43,70438.01,2,FALSE
"France",112239.03,0,2,FALSE
"France",45909.87,0,1,FALSE
"Spain",173779.25,141434.04,1,TRUE
"Spain",125696.26,0,2,FALSE
"Germany",159585.61,152958.29,2,FALSE
"Germany",106761.47,138306.34,1,FALSE
"Spain",129590.18,0,2,FALSE
"France",80006.65,0,2,FALSE
"Spain",140451.52,124328.84,1,FALSE
"Germany",187929.43,181461.48,3,TRUE
"Spain",167155.36,0,2,FALSE
"Spain",191420.71,0,2,FALSE
"Germany",11384.45,110368.03,1,TRUE
"France",94898.1,89588.35,1,FALSE
"France",106781.59,0,2,FALSE
"France",159508.52,0,2,FALSE
"Germany",93524.19,115924.89,1,TRUE
"France",87168.46,0,2,FALSE
"Germany",8128.32,111756.5,1,TRUE
"France",125518.32,0,1,FALSE
"France",48963.59,0,1,FALSE
"France",98368.24,162923.85,1,FALSE
"Germany",148584.61,124576.65,2,FALSE
"France",27474.81,80793.58,1,FALSE
"Germany",76192.21,71340.09,1,FALSE
"Germany",134600.94,99282.63,1,TRUE
"Germany",72467.99,137946.39,1,TRUE
"Germany",199645.45,127892.57,2,FALSE
"Germany",42749.85,101084.36,1,FALSE
"Germany",136050.44,114754.08,1,TRUE
"France",73564.44,0,1,FALSE
"France",85578.63,99286.98,1,FALSE
"Germany",129826.89,79871.02,2,FALSE
"France",119666,104088.59,2,FALSE
"France",68052.08,168190.33,2,FALSE
"Germany",164104.74,85679.25,1,FALSE
"France",80190.36,0,1,FALSE
"France",84126.75,0,2,FALSE
"France",70179,121551.58,2,FALSE
"France",118024.1,122220.19,1,FALSE
"Spain",145704.19,116528.15,1,TRUE
"France",183049.41,77780.29,1,FALSE
"France",120906.83,0,1,FALSE
"France",100433.83,125832.2,1,FALSE
"France",138777,68065.8,1,TRUE
"Spain",124694.99,127299.34,2,FALSE
"Germany",40084.32,174937.64,1,FALSE
"France",119232.33,0,2,FALSE
"Spain",43921.36,110071.1,1,FALSE
"Spain",62222.81,139432.37,1,FALSE
"France",56577,127357.76,1,FALSE
"France",164253.35,0,2,FALSE
"France",7666.73,0,1,FALSE
"France",68487.51,0,2,FALSE
"Germany",199273.98,95556.31,1,TRUE
"Spain",186062.36,0,1,FALSE
"Germany",195711.16,111681.98,2,FALSE
"France",36692.17,0,2,FALSE
"Spain",106920.57,108738.71,2,FALSE
"France",48725.68,133950.37,1,TRUE
"Spain",167036.94,0,2,FALSE
"France",68777.26,89968.69,1,FALSE
"Spain",18924.92,0,2,FALSE
"Germany",71905.77,130878.75,3,TRUE
"France",64833.28,0,2,FALSE
"France",184843.77,0,2,FALSE
"Spain",176730.02,134169.62,1,FALSE
"France",20629.4,149762.08,1,TRUE
"France",28415.36,93844.69,1,FALSE
"France",77231.27,0,2,FALSE
"France",102750.7,0,2,FALSE
"Germany",34580.8,141078.37,1,TRUE
"Germany",183598.77,117992.59,1,FALSE
"France",147358.27,100812.33,2,FALSE
"France",108469.2,0,1,FALSE
"France",20612.82,80262.6,1,FALSE
"Spain",181196.76,156478.62,1,FALSE
"France",160249.1,0,2,FALSE
"France",110783.28,0,3,FALSE
"Germany",144995.33,115217.99,2,FALSE
"Spain",150227.85,0,2,TRUE
"France",53718.28,155470.55,1,FALSE
"France",75248.3,0,2,FALSE
"France",14353.43,135096.77,1,TRUE
"France",130486.57,0,2,FALSE
"Germany",100127.71,180075.22,1,FALSE
"Spain",196356.17,97541.24,1,FALSE
"France",9983.88,156067.05,1,FALSE
"France",118974.77,81550.94,2,FALSE
"France",194998.34,0,1,TRUE
"France",134901.34,170061.92,2,TRUE
"Germany",72924.56,92310.54,2,FALSE
"France",101057.95,169089.38,2,FALSE
"France",142838.64,80613.93,1,FALSE
"Germany",127059.04,121581.56,2,FALSE
"France",116503.92,0,1,TRUE
"Spain",54405.79,0,2,FALSE
"France",88721.84,0,2,FALSE
"France",74135.48,85891.55,1,TRUE
"Spain",111346.22,77637.35,2,FALSE
"Spain",194902.16,0,1,FALSE
"France",31474.27,0,2,FALSE
"Germany",21198.39,116927.89,1,FALSE
"Germany",186976.6,137326.65,1,FALSE
"France",117202.19,0,2,FALSE
"Spain",143739.29,0,2,FALSE
"Germany",161811.23,67238.98,2,FALSE
"Germany",98090.91,86569.76,2,FALSE
"Spain",71095.41,0,2,FALSE
"France",13107.24,133598.4,1,FALSE
"France",67110.59,136188.78,1,TRUE
"Spain",88225.02,0,2,FALSE
"France",62256.87,0,3,TRUE
"Germany",135925.72,120092.52,2,FALSE
"France",177815.87,101238.24,2,TRUE
"France",126471.13,89685.92,1,FALSE
"France",188574.12,211774.31,1,TRUE
"France",119175.45,131317.48,1,FALSE
"Spain",139093.73,93722.73,2,FALSE
"Germany",115916.55,101160.99,1,FALSE
"France",96463.25,120320.54,1,FALSE
"France",112349.51,0,2,FALSE
"France",165303.79,0,2,FALSE
"France",166031.08,0,2,FALSE
"Germany",38411.79,152827.99,1,TRUE
"France",77783.35,64097.75,1,FALSE
"Spain",29871.79,119035.35,2,FALSE
"Spain",59747.63,135219.57,1,FALSE
"France",79919.13,93694.42,1,FALSE
"Spain",76773.53,59408.63,1,FALSE
"France",54018.93,114354.95,1,FALSE
"France",70649.64,0,1,TRUE
"Germany",59093.39,128173.9,2,FALSE
"Spain",127569.8,0,2,FALSE
"Germany",18260.98,114931.35,3,TRUE
"Germany",73275.96,111071.36,1,TRUE
"France",136129.49,151226.18,2,FALSE
"France",153237.59,0,2,FALSE
"France",106841.12,64740.12,1,FALSE
"Spain",109078.35,169312.13,1,TRUE
"France",87822.14,0,3,TRUE
"Spain",126644.98,112652.08,2,FALSE
"France",47414.15,0,2,FALSE
"Germany",41879.99,143964.36,2,FALSE
"France",75808.1,122451.46,2,FALSE
"France",47911.03,0,3,FALSE
"Germany",28737.78,65253.07,2,FALSE
"Germany",2079.2,106901.94,1,TRUE
"Spain",121562.33,128509.63,1,FALSE
"France",55003.79,0,2,FALSE
"Germany",193131.42,129834.67,1,FALSE
"Spain",191932.27,154962.99,3,TRUE
"Germany",159418.1,138241.9,2,FALSE
"Germany",191468.78,91536.93,1,TRUE
"Spain",38913.68,0,2,FALSE
"Spain",705.18,0,1,FALSE
"Germany",138490.03,105204.01,1,FALSE
"Spain",82970.69,152968.73,1,FALSE
"Spain",76744.72,158261.68,1,FALSE
"France",71244.59,0,1,TRUE
"Spain",12182.15,121021.05,1,FALSE
"France",141210.5,0,2,FALSE
"Spain",191763.07,0,1,TRUE
"Spain",37938.74,137715.66,1,FALSE
"Germany",74890.58,121192.22,2,FALSE
"France",166698.18,0,3,FALSE
"France",62678.53,100486.18,2,FALSE
"France",67740.08,0,1,TRUE
"France",161519.77,92566.53,2,FALSE
"Spain",159835.78,0,2,TRUE
"Spain",30876.84,110929.96,1,FALSE
"France",14858.1,0,2,FALSE
"Spain",75685.97,138901.61,1,FALSE
"France",144183.1,123217.66,2,FALSE
"France",65170.66,0,1,FALSE
"France",82526.92,0,2,FALSE
"Spain",169161.46,0,2,FALSE
"Spain",109291.39,108431.87,2,TRUE
"Spain",6057.81,0,2,FALSE
"Germany",77077.14,72392.41,1,FALSE
"Germany",54954.51,119741.77,2,TRUE
"France",179614.8,100946.71,1,TRUE
"Spain",35588.07,170491.84,1,TRUE
"France",117356.14,0,1,FALSE
"France",160696.72,0,1,FALSE
"Spain",147278.43,157296.02,2,TRUE
"Germany",56594.36,144606.22,1,TRUE
"France",1299.75,134811.3,1,FALSE
"France",25095.03,115897.12,1,FALSE
"Spain",146326.45,82034,1,FALSE
"Spain",38296.21,174318.13,2,FALSE
"Germany",164061.6,114206.84,1,FALSE
"Spain",107811.28,0,2,FALSE
"Germany",30838.51,111574.41,1,FALSE
"Germany",9221.78,162448.69,1,TRUE
"Germany",33738.27,148249.54,1,FALSE
"France",110916.15,0,3,TRUE
"Spain",169654.57,123709.46,2,FALSE
"France",69829.4,0,1,FALSE
"France",54926.51,0,1,TRUE
"France",94728.49,150525.8,1,FALSE
"France",80393.27,0,1,FALSE
"France",111307.98,0,2,FALSE
"France",19834.32,0,2,FALSE
"France",78397.24,0,2,FALSE
"Germany",86410.28,111018.98,1,FALSE
"France",172749.65,129755.99,1,FALSE
"France",1002.39,0,2,FALSE
"France",13601.79,129555.7,1,FALSE
"Spain",77866.91,87202.38,1,FALSE
"Germany",175296.76,146133.39,1,FALSE
"Spain",121751.04,0,1,TRUE
"Spain",89593.26,170184.99,2,FALSE
"Germany",193437.89,140745.33,1,TRUE
"Spain",86945,139070.51,1,FALSE
"Spain",183318.79,0,2,FALSE
"France",71154.1,114193.24,1,FALSE
"Spain",151887.16,167878.5,1,FALSE
"Germany",75888.65,141616.55,2,FALSE
"Germany",89566.74,145747.67,2,FALSE
"Spain",26475.79,129120.64,1,FALSE
"Spain",126355.8,110349.82,1,FALSE
"France",93839.3,141325.56,1,FALSE
"France",7698.6,78653.84,1,FALSE
"France",145593.85,0,2,FALSE
"Spain",45042.56,142253.65,1,FALSE
"France",61108.56,0,1,TRUE
"Germany",57553.98,115988.86,1,TRUE
"Spain",62674.42,75592.43,1,FALSE
"Germany",12120.79,164113.04,2,FALSE
"France",50129.87,67996.23,2,TRUE
"Spain",55022.43,0,2,FALSE
"Spain",117834.91,0,2,FALSE
"France",168840.23,138778.15,1,FALSE
"France",24234.11,147832.15,1,FALSE
"France",190627.01,135438.4,1,FALSE
"Spain",156618.38,116060.08,1,TRUE
"France",42334.38,112564.62,1,FALSE
"France",110784.42,125406.58,1,FALSE
"Germany",173683,135134.99,1,TRUE
"France",27046.46,133102.92,1,TRUE
"France",20598.59,42157.08,1,TRUE
"France",104991.28,0,2,FALSE
"France",8996.97,82259.29,1,FALSE
"France",64420.5,0,2,FALSE
"France",145700.22,0,2,FALSE
"France",196335.48,0,2,FALSE
"France",14781.12,0,1,FALSE
"France",108139.23,150461.07,1,FALSE
"Germany",19287.06,133994.52,1,TRUE
"Spain",9567.39,164870.81,2,FALSE
"Germany",132210.49,121702.73,1,FALSE
"Spain",21600.11,193858.2,1,FALSE
"Germany",199661.5,131039.97,2,FALSE
"France",124341.49,113829.45,1,FALSE
"France",15766.1,0,2,FALSE
"Germany",33642.21,81877.38,1,FALSE
"Spain",117704.65,116326.07,1,FALSE
"France",58803.28,0,2,FALSE
"France",137537.22,0,2,FALSE
"France",131300.68,0,2,FALSE
"France",84174.81,0,2,FALSE
"France",160941.78,127070.73,1,FALSE
"France",143954.99,0,2,FALSE
"Spain",56297.85,122549.64,1,FALSE
"France",8404.73,176099.13,1,FALSE
"Germany",30020.09,122388.38,2,FALSE
"France",58137.42,0,2,FALSE
"France",47472.68,0,1,FALSE
"Spain",19131.71,118879.35,2,FALSE
"Spain",187288.5,0,2,FALSE
"France",17603.81,0,2,FALSE
"Spain",67020.03,88736.44,2,FALSE
"Germany",147802.94,102703.62,1,TRUE
"Spain",41610.62,0,2,FALSE
"Spain",44255.65,0,2,FALSE
"France",78416.14,97318.25,1,FALSE
"Spain",137254.55,128468.69,1,FALSE
"Germany",151303.48,133432.59,1,FALSE
"Germany",86333.63,141782.57,2,FALSE
"France",89801.9,135125.28,1,FALSE
"Spain",29358.57,178820.91,1,TRUE
"France",181600.72,112212.14,2,FALSE
"Germany",124118.71,126674.81,1,TRUE
"France",38867.46,136294.97,1,TRUE
"France",31106.67,66392.64,1,FALSE
"Germany",67611.36,122552.34,2,FALSE
"France",77837.63,76408.85,2,FALSE
"Germany",6078.46,145071.24,1,FALSE
"France",177896.92,0,2,FALSE
"France",123882.73,109730.22,1,FALSE
"France",15304.08,0,2,FALSE
"Spain",76569.64,64119.38,1,TRUE
"Germany",120657.32,106138.33,2,TRUE
"Spain",16436.56,0,2,FALSE
"Germany",107667.91,181656.51,1,FALSE
